u,i,ts,label,weight,idx
6,1865,1385269200.0,1,1,20569
7,3465,1385269200.0,1,3,20570
7,3764,1385269200.0,-1,-9,20571
22,5,1385269200.0,1,1,20572
34,205,1385269200.0,1,2,20573
104,64,1385269200.0,1,5,20574
105,3764,1385269200.0,-1,-10,20575
158,3,1385269200.0,1,2,20576
429,7,1385269200.0,1,9,20577
3465,3571,1385269200.0,-1,-5,20578
5,2397,1385355600.0,-1,-1,20580
6,207,1385355600.0,1,3,20581
31,19,1385355600.0,1,4,20583
105,2397,1385355600.0,1,1,20584
241,602,1385355600.0,1,2,20585
279,35,1385355600.0,1,1,20586
309,1885,1385355600.0,1,1,20587
412,1380,1385355600.0,1,1,20588
602,241,1385355600.0,1,2,20589
888,1886,1385355600.0,1,1,20590
1380,412,1385355600.0,1,1,20591
1886,888,1385355600.0,1,1,20592
2397,105,1385355600.0,1,1,20593
3,88,1385442000.0,1,2,20594
3,590,1385442000.0,1,2,20595
5,19,1385442000.0,1,8,20596
5,946,1385442000.0,-1,-10,20597
11,3625,1385442000.0,1,1,20598
12,82,1385442000.0,1,1,20599
15,1873,1385442000.0,1,1,20600
25,7,1385442000.0,1,4,20601
32,88,1385442000.0,1,3,20602
37,601,1385442000.0,1,3,20603
82,12,1385442000.0,1,1,20604
88,3,1385442000.0,1,2,20605
88,32,1385442000.0,1,3,20606
128,580,1385442000.0,1,1,20607
2261,127,1385442000.0,1,1,20608
2261,435,1385442000.0,1,1,20609
1,1862,1385528400.0,1,1,20610
3,351,1385528400.0,1,5,20612
3,748,1385528400.0,1,2,20613
5,88,1385528400.0,1,3,20614
5,759,1385528400.0,-1,-10,20615
5,2395,1385528400.0,1,1,20616
7,650,1385528400.0,1,1,20618
7,882,1385528400.0,1,2,20619
8,3587,1385528400.0,-1,-5,20620
8,3686,1385528400.0,-1,-5,20621
8,3737,1385528400.0,-1,-5,20622
12,93,1385528400.0,1,3,20623
24,484,1385528400.0,1,3,20624
38,241,1385528400.0,1,2,20625
38,3571,1385528400.0,1,2,20626
49,105,1385528400.0,1,1,20627
93,12,1385528400.0,1,4,20629
105,49,1385528400.0,1,1,20630
105,484,1385528400.0,1,1,20631
105,1197,1385528400.0,1,1,20632
222,896,1385528400.0,1,1,20634
241,2400,1385528400.0,1,2,20635
484,105,1385528400.0,1,1,20638
496,3320,1385528400.0,1,1,20639
650,3,1385528400.0,1,1,20640
868,1585,1385528400.0,1,4,20641
896,222,1385528400.0,1,1,20642
982,2398,1385528400.0,1,1,20643
1197,105,1385528400.0,1,3,20644
1585,868,1385528400.0,1,4,20645
2395,5,1385528400.0,1,1,20646
2398,127,1385528400.0,1,1,20647
2398,982,1385528400.0,1,1,20648
3320,496,1385528400.0,1,1,20649
5,641,1385614800.0,1,2,20650
5,3664,1385614800.0,-1,-10,20651
8,527,1385614800.0,-1,-1,20652
8,1584,1385614800.0,-1,-1,20653
8,3489,1385614800.0,-1,-1,20654
8,3524,1385614800.0,-1,-1,20655
8,3526,1385614800.0,-1,-1,20656
61,2398,1385614800.0,1,1,20657
95,33,1385614800.0,1,3,20660
128,974,1385614800.0,1,1,20662
247,459,1385614800.0,1,3,20663
292,894,1385614800.0,1,1,20664
459,247,1385614800.0,1,2,20665
641,5,1385614800.0,1,1,20666
894,292,1385614800.0,1,1,20667
974,128,1385614800.0,1,1,20668
2398,61,1385614800.0,1,1,20669
1,1197,1385701200.0,1,1,20670
1,1867,1385701200.0,1,1,20671
1,1885,1385701200.0,1,1,20672
1,3319,1385701200.0,1,1,20673
1,3330,1385701200.0,1,1,20674
3,650,1385701200.0,1,1,20675
12,81,1385701200.0,1,2,20676
38,2399,1385701200.0,1,1,20679
59,1374,1385701200.0,1,1,20680
63,1551,1385701200.0,1,5,20681
81,12,1385701200.0,1,2,20682
81,128,1385701200.0,1,2,20684
105,163,1385701200.0,1,1,20685
125,649,1385701200.0,1,1,20686
128,11,1385701200.0,1,4,20687
128,81,1385701200.0,1,2,20688
151,2399,1385701200.0,1,1,20689
163,105,1385701200.0,1,1,20690
459,1886,1385701200.0,1,1,20691
649,33,1385701200.0,1,2,20692
649,125,1385701200.0,1,2,20693
649,650,1385701200.0,1,1,20694
650,649,1385701200.0,1,1,20695
1374,59,1385701200.0,1,2,20696
1867,151,1385701200.0,1,2,20697
1886,459,1385701200.0,1,1,20698
2399,38,1385701200.0,1,1,20699
2399,151,1385701200.0,1,1,20700
3330,1,1385701200.0,1,1,20701
3,974,1385787600.0,1,4,20702
15,86,1385787600.0,1,5,20703
15,3558,1385787600.0,-1,-3,20704
19,580,1385787600.0,1,2,20706
26,3,1385787600.0,1,5,20707
32,6,1385787600.0,1,7,20709
81,3331,1385787600.0,1,1,20712
118,649,1385787600.0,1,1,20714
128,193,1385787600.0,1,1,20715
128,590,1385787600.0,1,1,20716
199,1587,1385787600.0,1,4,20717
590,128,1385787600.0,1,2,20718
649,118,1385787600.0,1,1,20719
974,3,1385787600.0,1,5,20720
1885,1,1385787600.0,1,1,20721
1885,309,1385787600.0,1,1,20722
5,154,1385874000.0,1,1,20724
5,3254,1385874000.0,-1,-10,20725
8,3638,1385874000.0,-1,-10,20733
8,3649,1385874000.0,-1,-10,20734
8,3650,1385874000.0,-1,-10,20735
8,3651,1385874000.0,-1,-10,20736
8,3664,1385874000.0,-1,-1,20737
154,5,1385874000.0,1,1,20739
205,34,1385874000.0,1,3,20741
602,3754,1385874000.0,1,1,20742
649,1885,1385874000.0,1,1,20743
650,105,1385874000.0,1,1,20744
824,269,1385874000.0,1,2,20745
1873,15,1385874000.0,1,5,20747
1873,35,1385874000.0,1,1,20748
1873,3214,1385874000.0,1,1,20749
1885,649,1385874000.0,1,1,20750
3214,1873,1385874000.0,1,1,20751
3331,81,1385874000.0,1,1,20752
3331,219,1385874000.0,1,1,20753
3754,602,1385874000.0,1,1,20754
5,29,1385960400.0,1,2,20755
5,197,1385960400.0,-1,-10,20756
5,826,1385960400.0,1,3,20757
5,3602,1385960400.0,-1,-10,20758
12,31,1385960400.0,1,2,20759
29,5,1385960400.0,1,3,20760
31,12,1385960400.0,1,2,20761
36,983,1385960400.0,1,1,20763
88,5,1385960400.0,1,3,20764
310,49,1385960400.0,1,3,20766
412,496,1385960400.0,1,1,20767
459,617,1385960400.0,1,2,20768
496,412,1385960400.0,1,1,20769
826,199,1385960400.0,1,1,20770
983,36,1385960400.0,1,1,20771
5,3307,1386046800.0,1,1,20772
12,21,1386046800.0,1,2,20773
12,602,1386046800.0,1,2,20774
12,3754,1386046800.0,1,1,20775
21,12,1386046800.0,1,2,20776
34,81,1386046800.0,1,1,20777
81,34,1386046800.0,1,1,20778
125,704,1386046800.0,1,1,20779
207,666,1386046800.0,1,1,20780
351,105,1386046800.0,1,1,20781
457,2395,1386046800.0,1,1,20782
590,3,1386046800.0,1,3,20783
602,12,1386046800.0,1,3,20784
704,125,1386046800.0,1,1,20785
2395,457,1386046800.0,1,1,20786
3754,12,1386046800.0,1,1,20787
12,305,1386133200.0,1,3,20788
32,59,1386133200.0,1,1,20789
34,490,1386133200.0,1,1,20790
47,5,1386133200.0,1,1,20791
47,163,1386133200.0,1,1,20792
85,59,1386133200.0,1,1,20793
105,26,1386133200.0,1,1,20794
105,490,1386133200.0,1,1,20795
105,649,1386133200.0,1,1,20796
105,3754,1386133200.0,-1,-10,20797
144,372,1386133200.0,1,6,20798
144,3594,1386133200.0,1,5,20799
309,3334,1386133200.0,1,1,20800
490,34,1386133200.0,1,1,20801
490,105,1386133200.0,1,1,20802
490,1541,1386133200.0,1,1,20803
649,105,1386133200.0,1,1,20804
649,1192,1386133200.0,1,1,20805
1024,3754,1386133200.0,-1,-10,20806
1192,649,1386133200.0,1,1,20807
1541,490,1386133200.0,1,1,20808
3334,309,1386133200.0,1,1,20809
1,3332,1386219600.0,1,1,20810
8,229,1386219600.0,-1,-1,20811
26,242,1386219600.0,1,5,20812
34,649,1386219600.0,1,1,20813
118,173,1386219600.0,1,1,20814
178,3333,1386219600.0,1,1,20815
590,3490,1386219600.0,1,10,20816
649,34,1386219600.0,1,1,20817
3332,1,1386219600.0,1,1,20819
3333,178,1386219600.0,1,1,20820
3490,590,1386219600.0,1,10,20821
1,3317,1386306000.0,1,1,20822
1,3329,1386306000.0,1,1,20823
5,242,1386306000.0,1,5,20824
8,758,1386306000.0,-1,-1,20825
49,650,1386306000.0,1,1,20826
412,31,1386306000.0,1,2,20827
429,31,1386306000.0,1,9,20828
650,49,1386306000.0,1,1,20829
3577,431,1386306000.0,-1,-5,20830
1,222,1386392400.0,1,2,20831
