u,i,ts,label,weight,idx
2106,3721,1385269200.0,0,0.0,24187
1856,1380,1385269200.0,0,0.0,24188
1834,3162,1385269200.0,0,0.0,24189
3758,509,1385269200.0,0,0.0,24190
1029,1510,1385269200.0,0,0.0,24191
2645,1600,1385269200.0,0,0.0,24192
830,172,1385269200.0,0,0.0,24193
3270,220,1385269200.0,0,0.0,24194
1916,2123,1385269200.0,0,0.0,24195
3626,44,1385269200.0,0,0.0,24196
1875,168,1385355600.0,0,0.0,24197
3708,323,1385355600.0,0,0.0,24198
1226,3291,1385355600.0,0,0.0,24199
2994,2755,1385355600.0,0,0.0,24200
1852,562,1385355600.0,0,0.0,24201
2189,388,1385355600.0,0,0.0,24202
3203,1891,1385355600.0,0,0.0,24203
1573,173,1385355600.0,0,0.0,24204
2872,2777,1385355600.0,0,0.0,24205
346,2023,1385355600.0,0,0.0,24206
1635,982,1385355600.0,0,0.0,24207
3274,2425,1385355600.0,0,0.0,24208
881,2001,1385355600.0,0,0.0,24209
2648,3195,1385442000.0,0,0.0,24210
669,2629,1385442000.0,0,0.0,24211
910,45,1385442000.0,0,0.0,24212
3622,234,1385442000.0,0,0.0,24213
649,485,1385442000.0,0,0.0,24214
1793,488,1385442000.0,0,0.0,24215
2893,3586,1385442000.0,0,0.0,24216
1804,882,1385442000.0,0,0.0,24217
3039,787,1385442000.0,0,0.0,24218
876,2567,1385442000.0,0,0.0,24219
3058,1927,1385442000.0,0,0.0,24220
2844,695,1385442000.0,0,0.0,24221
1478,2913,1385442000.0,0,0.0,24222
181,2151,1385442000.0,0,0.0,24223
2027,1112,1385442000.0,0,0.0,24224
3608,2207,1385442000.0,0,0.0,24225
3130,3663,1385528400.0,0,0.0,24226
1555,3467,1385528400.0,0,0.0,24227
394,871,1385528400.0,0,0.0,24228
1922,323,1385528400.0,0,0.0,24229
1711,2800,1385528400.0,0,0.0,24230
1742,1341,1385528400.0,0,0.0,24231
1088,617,1385528400.0,0,0.0,24232
734,1699,1385528400.0,0,0.0,24233
283,752,1385528400.0,0,0.0,24234
1518,2681,1385528400.0,0,0.0,24235
2212,2821,1385528400.0,0,0.0,24236
2553,3401,1385528400.0,0,0.0,24237
2202,3645,1385528400.0,0,0.0,24238
2527,633,1385528400.0,0,0.0,24239
1976,824,1385528400.0,0,0.0,24240
569,730,1385528400.0,0,0.0,24241
2457,230,1385528400.0,0,0.0,24242
121,2189,1385528400.0,0,0.0,24243
942,508,1385528400.0,0,0.0,24244
2226,299,1385528400.0,0,0.0,24245
3360,2292,1385528400.0,0,0.0,24246
3045,3005,1385528400.0,0,0.0,24247
897,3441,1385528400.0,0,0.0,24248
3703,1221,1385528400.0,0,0.0,24249
1073,2352,1385528400.0,0,0.0,24250
2670,1377,1385528400.0,0,0.0,24251
2549,822,1385528400.0,0,0.0,24252
916,1113,1385528400.0,0,0.0,24253
146,341,1385528400.0,0,0.0,24254
1571,491,1385528400.0,0,0.0,24255
1564,956,1385528400.0,0,0.0,24256
2208,1558,1385528400.0,0,0.0,24257
2716,2203,1385528400.0,0,0.0,24258
3022,178,1385528400.0,0,0.0,24259
529,1565,1385614800.0,0,0.0,24260
787,713,1385614800.0,0,0.0,24261
2304,2500,1385614800.0,0,0.0,24262
1267,462,1385614800.0,0,0.0,24263
2352,890,1385614800.0,0,0.0,24264
910,2096,1385614800.0,0,0.0,24265
1953,3306,1385614800.0,0,0.0,24266
713,2415,1385614800.0,0,0.0,24267
2541,1346,1385614800.0,0,0.0,24268
2054,1622,1385614800.0,0,0.0,24269
1031,2397,1385614800.0,0,0.0,24270
187,2420,1385614800.0,0,0.0,24271
1660,2304,1385614800.0,0,0.0,24272
504,627,1385614800.0,0,0.0,24273
517,1204,1385614800.0,0,0.0,24274
286,497,1385614800.0,0,0.0,24275
652,2593,1385614800.0,0,0.0,24276
2051,1103,1385701200.0,0,0.0,24277
304,2597,1385701200.0,0,0.0,24278
