u,i,ts,label,weight,idx
2,111,1385355600.0,1,1,20579
8,1691,1385355600.0,1,1,20582
2,1691,1385528400.0,1,2,20611
6,150,1385528400.0,1,1,20617
81,467,1385528400.0,1,1,20628
150,6,1385528400.0,1,1,20633
467,81,1385528400.0,1,1,20636
467,701,1385528400.0,-1,-10,20637
64,81,1385614800.0,1,1,20658
81,64,1385614800.0,1,1,20659
123,49,1385614800.0,1,1,20661
33,81,1385701200.0,1,1,20677
33,125,1385701200.0,1,1,20678
81,33,1385701200.0,1,1,20683
15,3594,1385787600.0,-1,-1,20705
26,88,1385787600.0,1,10,20708
49,88,1385787600.0,1,3,20710
81,49,1385787600.0,1,3,20711
88,49,1385787600.0,1,3,20713
3465,3462,1385787600.0,-1,-5,20723
8,665,1385874000.0,-1,-1,20726
8,780,1385874000.0,-1,-1,20727
8,1104,1385874000.0,-1,-1,20728
8,1502,1385874000.0,-1,-1,20729
8,3462,1385874000.0,-1,-1,20730
8,3469,1385874000.0,-1,-1,20731
8,3602,1385874000.0,-1,-1,20732
33,974,1385874000.0,1,1,20738
155,3594,1385874000.0,-1,-1,20740
974,33,1385874000.0,1,1,20746
33,136,1385960400.0,1,2,20762
136,33,1385960400.0,1,2,20765
2090,15,1386219600.0,1,1,20818
64,3594,1386392400.0,-1,-2,20833
24,49,1386565200.0,1,3,20849
49,24,1386565200.0,1,3,20851
8,3507,1386651600.0,-1,-1,20862
24,122,1386651600.0,1,2,20864
88,26,1386651600.0,1,1,20869
88,3507,1386651600.0,-1,-1,20870
16,80,1386738000.0,-1,-2,20880
26,173,1386738000.0,1,1,20881
6,1546,1386824400.0,1,4,20886
8,304,1386824400.0,-1,-1,20887
8,492,1386824400.0,-1,-1,20888
8,969,1386824400.0,-1,-1,20890
8,1179,1386824400.0,-1,-1,20891
8,2031,1386824400.0,-1,-1,20892
21,47,1386824400.0,1,1,20895
47,21,1386824400.0,1,1,20896
206,284,1386910800.0,-1,-1,20913
206,588,1386910800.0,-1,-1,20914
8,331,1386997200.0,-1,-1,20922
15,369,1386997200.0,-1,-3,20926
24,85,1386997200.0,1,4,20927
85,24,1386997200.0,1,4,20931
206,2,1386997200.0,1,2,20936
206,13,1386997200.0,1,1,20937
8,214,1387083600.0,-1,-1,20944
530,214,1387083600.0,-1,-1,20949
8,78,1387256400.0,-1,-1,20963
154,24,1387256400.0,1,1,20967
85,703,1387429200.0,-1,-1,20984
8,130,1387515600.0,-1,-1,20995
8,593,1387688400.0,-1,-1,21007
13,659,1387774800.0,1,7,21012
249,220,1387774800.0,1,9,21014
8,3456,1387861200.0,-1,-1,21015
13,517,1387947600.0,-1,-1,21018
666,173,1388120400.0,1,1,21029
49,123,1388206800.0,1,2,21036
49,280,1388293200.0,1,1,21043
412,173,1388293200.0,1,1,21050
11,24,1388466000.0,1,6,21062
11,198,1388552400.0,1,1,21073
198,11,1388552400.0,1,1,21076
8,613,1388638800.0,-1,-2,21081
10,613,1388638800.0,-1,-2,21082
6,306,1388725200.0,1,2,21091
151,839,1388725200.0,1,1,21094
839,151,1388898000.0,1,1,21108
1032,280,1388898000.0,1,1,21109
280,1032,1388984400.0,1,1,21114
8,51,1389070800.0,1,1,21117
11,6,1389070800.0,1,6,21118
205,24,1389330000.0,1,5,21146
154,219,1389502800.0,1,1,21157
219,154,1389502800.0,1,1,21158
8,52,1389589200.0,-1,-1,21161
51,173,1389589200.0,1,1,21163
123,391,1389589200.0,1,1,21169
173,51,1389589200.0,1,1,21171
391,123,1389589200.0,1,1,21174
8,2821,1389675600.0,-1,-1,21177
56,6,1390280400.0,1,9,21236
36,102,1390539600.0,1,1,21249
102,36,1390539600.0,1,1,21252
24,173,1390798800.0,1,3,21281
8,11,1390885200.0,1,2,21286
73,88,1391144400.0,1,1,21309
15,279,1391230800.0,1,1,21327
15,427,1391230800.0,1,1,21328
280,49,1391403600.0,1,2,21350
8,24,1391490000.0,1,1,21354
205,219,1391576400.0,1,1,21364
219,238,1391576400.0,1,1,21365
238,219,1391576400.0,1,1,21366
47,6,1391662800.0,1,1,21374
24,51,1391749200.0,1,3,21382
51,24,1391749200.0,1,2,21384
269,60,1392094800.0,1,10,21434
269,177,1392094800.0,-1,-10,21435
269,196,1392094800.0,1,1,21436
269,325,1392094800.0,1,1,21437
269,369,1392094800.0,1,1,21438
269,3594,1392094800.0,-1,-10,21442
173,24,1392267600.0,1,4,21458
430,13,1392526800.0,-1,-10,21480
49,11,1392872400.0,1,3,21515
64,155,1393045200.0,1,1,21545
2,22,1393218000.0,1,4,21561
22,2,1393218000.0,1,8,21563
88,318,1393390800.0,1,1,21588
173,88,1393390800.0,1,1,21591
9,111,1393477200.0,1,1,21600
11,85,1393736400.0,-1,-10,21620
13,430,1393736400.0,-1,-1,21621
24,11,1394168400.0,-1,-1,21645
24,3556,1394168400.0,-1,-5,21646
2090,2081,1394168400.0,1,1,21654
2,38,1394424000.0,1,9,21663
38,2,1394424000.0,1,9,21664
88,15,1394510400.0,1,1,21670
8,3782,1394596800.0,-1,-5,21679
43,113,1394596800.0,-1,-1,21680
6,177,1394683200.0,-1,-2,21688
6,1157,1394683200.0,1,1,21689
160,18,1394683200.0,1,1,21692
1157,6,1395028800.0,1,1,21706
1691,113,1395115200.0,-1,-10,21713
8,427,1395288000.0,-1,-1,21725
8,1162,1395288000.0,-1,-1,21726
8,204,1395374400.0,-1,-1,21732
8,107,1395460800.0,-1,-1,21740
8,265,1395460800.0,-1,-1,21741
8,360,1395460800.0,-1,-1,21742
8,452,1395460800.0,-1,-1,21743
8,585,1395460800.0,-1,-1,21744
8,268,1395547200.0,-1,-1,21747
8,347,1395547200.0,-1,-1,21748
8,519,1395547200.0,-1,-1,21749
8,696,1395547200.0,-1,-1,21750
8,147,1395633600.0,-1,-1,21759
8,317,1395633600.0,-1,-1,21760
8,457,1395633600.0,-1,-1,21761
8,812,1395633600.0,-1,-1,21762
8,1346,1395633600.0,-1,-1,21764
8,1794,1395633600.0,-1,-1,21765
8,3472,1395633600.0,-1,-2,21767
73,124,1395633600.0,-1,-1,21768
15,530,1395720000.0,1,1,21774
8,883,1396238400.0,-1,-1,21806
