u,i,ts,label,weight,idx
3325,1142,1385355600.0,0,0.0,43215
3275,285,1385355600.0,0,0.0,43216
1913,2979,1385528400.0,0,0.0,43217
2969,2389,1385528400.0,0,0.0,43218
3241,1822,1385528400.0,0,0.0,43219
1268,3058,1385528400.0,0,0.0,43220
3074,1683,1385528400.0,0,0.0,43221
753,1910,1385528400.0,0,0.0,43222
487,1961,1385614800.0,0,0.0,43223
3610,2861,1385614800.0,0,0.0,43224
3582,1541,1385614800.0,0,0.0,43225
1237,1214,1385701200.0,0,0.0,43226
3150,2144,1385701200.0,0,0.0,43227
133,2674,1385701200.0,0,0.0,43228
3758,1679,1385787600.0,0,0.0,43229
1429,2330,1385787600.0,0,0.0,43230
1299,1098,1385787600.0,0,0.0,43231
1078,3321,1385787600.0,0,0.0,43232
1005,3067,1385787600.0,0,0.0,43233
54,1261,1385787600.0,0,0.0,43234
3073,2517,1385874000.0,0,0.0,43235
1024,2119,1385874000.0,0,0.0,43236
277,273,1385874000.0,0,0.0,43237
1573,3202,1385874000.0,0,0.0,43238
1283,3131,1385874000.0,0,0.0,43239
1549,76,1385874000.0,0,0.0,43240
1618,178,1385874000.0,0,0.0,43241
2685,2661,1385874000.0,0,0.0,43242
33,2126,1385874000.0,0,0.0,43243
3221,1063,1385874000.0,0,0.0,43244
1868,822,1385960400.0,0,0.0,43245
143,847,1385960400.0,0,0.0,43246
1864,1535,1386219600.0,0,0.0,43247
2185,3304,1386392400.0,0,0.0,43248
2526,1974,1386565200.0,0,0.0,43249
3707,1982,1386565200.0,0,0.0,43250
488,1420,1386651600.0,0,0.0,43251
571,3016,1386651600.0,0,0.0,43252
2106,2878,1386651600.0,0,0.0,43253
442,3592,1386651600.0,0,0.0,43254
1674,1815,1386738000.0,0,0.0,43255
1052,1159,1386738000.0,0,0.0,43256
864,106,1386824400.0,0,0.0,43257
3292,1322,1386824400.0,0,0.0,43258
2286,3318,1386824400.0,0,0.0,43259
2053,2721,1386824400.0,0,0.0,43260
2270,2195,1386824400.0,0,0.0,43261
408,960,1386824400.0,0,0.0,43262
2132,999,1386824400.0,0,0.0,43263
534,861,1386824400.0,0,0.0,43264
3212,1157,1386910800.0,0,0.0,43265
103,2859,1386910800.0,0,0.0,43266
1857,2634,1386997200.0,0,0.0,43267
920,826,1386997200.0,0,0.0,43268
1791,2481,1386997200.0,0,0.0,43269
1918,953,1386997200.0,0,0.0,43270
2136,158,1386997200.0,0,0.0,43271
2570,2004,1386997200.0,0,0.0,43272
1564,486,1387083600.0,0,0.0,43273
1991,3098,1387083600.0,0,0.0,43274
2488,889,1387256400.0,0,0.0,43275
962,25,1387256400.0,0,0.0,43276
3226,3707,1387429200.0,0,0.0,43277
21,1027,1387515600.0,0,0.0,43278
351,2642,1387688400.0,0,0.0,43279
2031,177,1387774800.0,0,0.0,43280
2630,1474,1387774800.0,0,0.0,43281
1254,3236,1387861200.0,0,0.0,43282
1738,2536,1387947600.0,0,0.0,43283
545,1983,1388120400.0,0,0.0,43284
683,2787,1388206800.0,0,0.0,43285
1764,2799,1388293200.0,0,0.0,43286
1052,152,1388293200.0,0,0.0,43287
2969,3260,1388466000.0,0,0.0,43288
2101,826,1388552400.0,0,0.0,43289
2851,2189,1388552400.0,0,0.0,43290
594,3520,1388638800.0,0,0.0,43291
712,1076,1388638800.0,0,0.0,43292
3729,2566,1388725200.0,0,0.0,43293
2581,645,1388725200.0,0,0.0,43294
478,2502,1388898000.0,0,0.0,43295
1574,2875,1388898000.0,0,0.0,43296
