u,i,ts,label,weight,idx
1949,5090,1388290145.58891,0,0.0,66269
4018,4385,1388290408.97276,0,0.0,66270
1926,10,1388291093.69422,0,0.0,66271
1109,2278,1388291733.58858,0,0.0,66272
905,3614,1388329041.25152,0,0.0,66273
3664,4003,1388329054.02116,0,0.0,66274
3217,5779,1388330501.5146,0,0.0,66275
3490,2322,1388330549.56926,0,0.0,66276
1968,5657,1388330983.15468,0,0.0,66277
2977,5876,1388331918.57424,0,0.0,66278
1673,602,1388345380.87598,0,0.0,66279
4347,964,1388345438.0833,0,0.0,66280
4398,2430,1388347540.05136,0,0.0,66281
5618,3892,1388348700.46199,0,0.0,66282
1733,181,1388350914.09987,0,0.0,66283
3221,1623,1388351340.62327,0,0.0,66284
956,301,1388351511.25542,0,0.0,66285
2708,4940,1388352339.91836,0,0.0,66286
4108,521,1388353001.32565,0,0.0,66287
4938,399,1388355346.21902,0,0.0,66288
981,3818,1388356425.77729,0,0.0,66289
1900,3357,1388356539.9641,0,0.0,66290
3028,3410,1388357094.47333,0,0.0,66291
3912,5819,1388357125.40823,0,0.0,66292
5380,4290,1388401139.4366,0,0.0,66293
3088,3776,1388401228.48343,0,0.0,66294
456,2884,1388426275.04907,0,0.0,66295
1175,4175,1388426327.83672,0,0.0,66296
812,5438,1388434488.21142,0,0.0,66297
329,5437,1388434595.17279,0,0.0,66298
1612,4973,1388434748.90233,0,0.0,66299
2614,2301,1388434949.85956,0,0.0,66300
4959,3347,1388435041.24032,0,0.0,66301
2590,1234,1388435463.87705,0,0.0,66302
2067,1078,1388442265.22198,0,0.0,66303
628,3830,1388442603.30901,0,0.0,66304
2521,3135,1388458151.15172,0,0.0,66305
3670,2068,1388458185.54357,0,0.0,66306
5272,3264,1388460994.98514,0,0.0,66307
3636,1171,1388471073.13239,0,0.0,66308
4496,226,1388471923.0791,0,0.0,66309
3311,5347,1388475514.39555,0,0.0,66310
4891,1365,1388475568.17025,0,0.0,66311
4560,5192,1388516193.20854,0,0.0,66312
3531,3927,1388516214.36811,0,0.0,66313
2725,3560,1388516324.07138,0,0.0,66314
2613,3959,1388516463.98452,0,0.0,66315
987,5330,1388517754.7554,0,0.0,66316
5328,1303,1388517823.96435,0,0.0,66317
1670,181,1388526153.95867,0,0.0,66318
1662,5661,1388526227.61151,0,0.0,66319
4427,1614,1388549460.97671,0,0.0,66320
4071,1976,1388549462.79962,0,0.0,66321
3003,3014,1388606811.02762,0,0.0,66322
868,3353,1388606915.7895,0,0.0,66323
2380,1608,1388622814.63067,0,0.0,66324
2043,2221,1388633067.61839,0,0.0,66325
788,3938,1388633120.84412,0,0.0,66326
213,5424,1388635480.41236,0,0.0,66327
1761,4706,1388635904.24436,0,0.0,66328
563,5581,1388640226.20072,0,0.0,66329
4487,3923,1388640352.07588,0,0.0,66330
578,402,1388648988.06971,0,0.0,66331
