u,i,ts,label,weight,idx
3380,787,1289245277.36975,0,0.0,35593
3204,4455,1289362700.47913,0,0.0,35594
1960,3769,1289370556.80938,0,0.0,35595
4144,1459,1289370622.21473,0,0.0,35596
984,171,1289380981.52787,0,0.0,35597
903,2164,1289441438.4426,0,0.0,35598
2056,212,1289441450.59006,0,0.0,35599
4410,3279,1289441525.73831,0,0.0,35600
1215,1985,1289442313.03711,0,0.0,35601
349,1376,1289489668.48486,0,0.0,35602
2111,3319,1289555745.64663,0,0.0,35603
2179,418,1289555767.7095,0,0.0,35604
3259,1337,1289555841.66508,0,0.0,35605
3964,2905,1289555871.04233,0,0.0,35606
3260,226,1289555875.70958,0,0.0,35607
2856,898,1289641693.99029,0,0.0,35608
839,3701,1289641703.57785,0,0.0,35609
3195,2865,1289660347.43795,0,0.0,35610
2578,536,1289771303.53929,0,0.0,35611
2691,1693,1289836081.52099,0,0.0,35612
3587,3820,1290108486.68868,0,0.0,35613
2022,773,1290197549.13082,0,0.0,35614
644,2082,1290197554.48422,0,0.0,35615
3583,2514,1290644457.56157,0,0.0,35616
2554,1497,1290644477.40213,0,0.0,35617
3496,2968,1291157823.29216,0,0.0,35618
2328,2718,1291159845.12556,0,0.0,35619
2615,240,1291376109.62385,0,0.0,35620
1154,4419,1291515528.23159,0,0.0,35621
894,4254,1291515697.49227,0,0.0,35622
2465,139,1291578872.19781,0,0.0,35623
2240,2935,1291590274.45619,0,0.0,35624
3044,3660,1291591178.25959,0,0.0,35625
3588,1394,1291591211.84395,0,0.0,35626
125,1164,1291623781.12772,0,0.0,35627
2417,1001,1291623787.90955,0,0.0,35628
4125,3251,1291684579.71178,0,0.0,35629
894,4342,1291684612.11599,0,0.0,35630
942,3973,1292070534.03952,0,0.0,35631
786,648,1292071378.89261,0,0.0,35632
4085,2947,1292085236.69986,0,0.0,35633
3665,2335,1292085280.0736,0,0.0,35634
522,3727,1292099160.9751,0,0.0,35635
4303,2840,1292189306.47485,0,0.0,35636
4259,505,1292189412.5311,0,0.0,35637
3396,4025,1292193828.31273,0,0.0,35638
762,3803,1292195062.40986,0,0.0,35639
651,4411,1292200462.1576,0,0.0,35640
3185,3013,1292297572.76433,0,0.0,35641
849,2141,1292297608.09604,0,0.0,35642
2773,2664,1292361185.86524,0,0.0,35643
188,567,1292361298.90511,0,0.0,35644
3369,2444,1292442401.75654,0,0.0,35645
3143,275,1292442432.71184,0,0.0,35646
3629,521,1292447857.20632,0,0.0,35647
1415,1417,1292490376.23637,0,0.0,35648
2504,2755,1292716197.42619,0,0.0,35649
947,2037,1292819158.23834,0,0.0,35650
2629,2562,1292819328.73322,0,0.0,35651
2629,2926,1292823618.44624,0,0.0,35652
2348,3247,1292823672.32603,0,0.0,35653
3945,2651,1292823684.25402,0,0.0,35654
2309,1758,1292823727.667,0,0.0,35655
895,1187,1292920838.87248,0,0.0,35656
345,2758,1292935948.10307,0,0.0,35657
2883,3517,1293050723.00352,0,0.0,35658
481,3143,1293054742.65514,0,0.0,35659
1946,2667,1293191604.74618,0,0.0,35660
3932,2449,1293409870.96218,0,0.0,35661
1745,2436,1293448472.81444,0,0.0,35662
3185,4391,1293448479.2438,0,0.0,35663
1045,4225,1293453341.91475,0,0.0,35664
322,3531,1293453456.20721,0,0.0,35665
1597,2573,1293453463.2234,0,0.0,35666
2535,2409,1293481688.78585,0,0.0,35667
2827,2351,1293482234.62328,0,0.0,35668
4044,2571,1293523499.48644,0,0.0,35669
3498,96,1293603105.36008,0,0.0,35670
529,3432,1293604543.59049,0,0.0,35671
3980,1370,1293604590.1113,0,0.0,35672
116,1899,1293632316.69358,0,0.0,35673
2303,2337,1293643257.60649,0,0.0,35674
2977,1386,1293646340.181,0,0.0,35675
3274,3144,1293661055.82282,0,0.0,35676
1890,3153,1293665840.7407,0,0.0,35677
3663,1179,1293831460.95955,0,0.0,35678
3308,3036,1293831479.76095,0,0.0,35679
109,3297,1293888120.91641,0,0.0,35680
2727,515,1293888137.47196,0,0.0,35681
407,2197,1293930357.98644,0,0.0,35682
916,1797,1293994479.85825,0,0.0,35683
3754,341,1293996991.46985,0,0.0,35684
1258,2640,1294126590.415,0,0.0,35685
762,3698,1294152392.91925,0,0.0,35686
2452,3722,1294190542.60702,0,0.0,35687
1356,4287,1294192094.04763,0,0.0,35688
1149,385,1294192614.67232,0,0.0,35689
3608,3441,1294300030.22996,0,0.0,35690
1412,2663,1294300186.31404,0,0.0,35691
2437,3331,1294395970.3296,0,0.0,35692
1369,517,1294396076.49534,0,0.0,35693
1999,741,1294429932.32732,0,0.0,35694
4194,3774,1294429999.78412,0,0.0,35695
3734,3019,1294438542.46541,0,0.0,35696
3514,2843,1294439193.84082,0,0.0,35697
3424,3004,1294546375.24239,0,0.0,35698
3664,1824,1294599138.54006,0,0.0,35699
463,1198,1294600321.90078,0,0.0,35700
2246,1461,1294600354.23511,0,0.0,35701
670,3327,1294600362.03195,0,0.0,35702
1578,2980,1294689381.25255,0,0.0,35703
1906,1504,1294689438.39491,0,0.0,35704
2684,857,1294788721.90836,0,0.0,35705
2020,97,1294854693.16331,0,0.0,35706
1754,415,1294919858.69515,0,0.0,35707
4007,2346,1294927076.83628,0,0.0,35708
4151,806,1294947596.86945,0,0.0,35709
321,1635,1294953308.35973,0,0.0,35710
2286,591,1294974057.98044,0,0.0,35711
1564,3608,1294996843.91845,0,0.0,35712
