u,i,ts,label,weight,idx
865,4116,1388349980.27206,1,5,30268
3624,241,1388361465.80973,1,2,30279
4207,241,1388386310.2323,1,1,30280
241,4207,1388386321.79186,1,1,30281
3650,3373,1388406356.38585,1,1,30284
27,1720,1388434977.02906,1,1,30291
4040,2270,1388467499.22519,1,1,30299
2270,4040,1388467579.51129,1,1,30300
865,1522,1388502318.59642,1,6,30305
1345,2248,1388504143.72158,1,1,30306
3911,3644,1388539679.71811,1,1,30315
3644,3911,1388539705.17356,1,1,30316
1840,865,1388558708.61735,1,1,30319
865,1840,1388560087.00644,1,1,30320
4466,865,1388616703.10303,1,4,30323
1322,121,1388644692.97868,1,1,30331
2877,4093,1388691821.11246,1,8,30333
2078,665,1388719310.0901,-1,-2,30334
3760,3820,1388763468.78895,1,10,30344
4093,36,1388923052.52848,1,1,30364
36,4093,1388923332.13749,1,1,30365
865,3624,1388951291.20578,1,1,30379
3624,865,1388951441.61466,1,1,30380
4116,3126,1389115331.23436,1,3,30403
507,1805,1389121509.8996,1,1,30408
2186,4116,1389131253.20969,1,1,30411
4116,2186,1389131267.31615,1,1,30412
407,4116,1389134407.69624,1,1,30415
4116,407,1389134453.21624,1,1,30416
2954,3701,1389172384.21156,-1,-10,30432
4093,3701,1389207902.16534,-1,-10,30438
4093,3440,1389213253.07982,-1,-1,30439
4093,109,1389221332.63869,1,1,30441
109,4093,1389221657.7279,1,1,30442
4207,4116,1389223863.71748,1,7,30444
4116,4207,1389223953.01751,1,5,30445
2257,3925,1389304991.92957,1,2,30460
3925,2257,1389305202.03491,1,2,30461
3925,2328,1389305278.45229,1,2,30462
2270,1522,1389355810.03015,1,5,30472
4040,3820,1389360731.56377,1,1,30473
3820,4040,1389360795.8976,1,1,30474
177,3581,1389363345.0898,1,1,30475
3650,865,1389408683.59814,1,2,30478
4093,3524,1389515114.48352,1,1,30483
1466,511,1389528792.55236,1,1,30488
511,1466,1389528827.17151,1,1,30489
2779,1686,1389612757.8207,1,1,30505
1686,2779,1389612801.53012,1,1,30506
1908,3912,1389637086.7073,-1,-1,30513
948,2328,1389646057.15061,1,10,30518
2063,1966,1389649436.7762,1,1,30521
1966,2063,1389649449.74791,1,1,30522
2248,3734,1389735850.13821,1,1,30531
4116,3249,1389749425.14028,1,2,30532
4184,3911,1389891712.58693,1,1,30549
2017,692,1389903810.10226,1,1,30554
692,2017,1389904317.79045,1,7,30555
3380,1805,1389942027.69068,1,1,30563
4207,1787,1389988246.51376,1,5,30569
4482,4116,1390009424.41616,1,5,30575
241,3624,1390029827.34631,1,4,30579
3820,4169,1390082695.03715,1,1,30585
2588,241,1390110430.24396,1,1,30588
241,2588,1390110438.68572,1,1,30589
429,241,1390112015.76225,1,2,30590
241,429,1390112495.24674,1,1,30591
1885,1805,1390173372.16181,-1,-3,30599
241,511,1390185110.18564,1,1,30602
511,241,1390185117.65352,1,1,30603
241,3556,1390233438.69312,1,3,30613
241,1522,1390233552.45661,1,1,30614
3556,241,1390233552.66878,1,5,30615
3820,1522,1390233626.96774,1,6,30616
1522,241,1390235111.02529,1,1,30617
3760,4275,1390314016.21169,1,1,30622
4275,3760,1390314217.94349,1,1,30623
