u,i,ts,label,weight,idx
3062,3010,1388349980.27206,0,0.0,35589
4445,1374,1388361465.80973,0,0.0,35590
2985,4208,1388386310.2323,0,0.0,35591
1260,3950,1388386321.79186,0,0.0,35592
4080,4508,1388406356.38585,0,0.0,35593
513,1658,1388434977.02906,0,0.0,35594
3157,1006,1388467499.22519,0,0.0,35595
3333,1617,1388467579.51129,0,0.0,35596
3464,629,1388502318.59642,0,0.0,35597
3339,1276,1388504143.72158,0,0.0,35598
146,4163,1388539679.71811,0,0.0,35599
4556,2827,1388539705.17356,0,0.0,35600
3269,2033,1388558708.61735,0,0.0,35601
4468,3895,1388560087.00644,0,0.0,35602
4495,3405,1388616703.10303,0,0.0,35603
308,486,1388644692.97868,0,0.0,35604
1564,1116,1388691821.11246,0,0.0,35605
4664,5040,1388719310.0901,0,0.0,35606
1532,3842,1388763468.78895,0,0.0,35607
1592,2361,1388923052.52848,0,0.0,35608
4009,2894,1388923332.13749,0,0.0,35609
39,4653,1388951291.20578,0,0.0,35610
2960,4523,1388951441.61466,0,0.0,35611
4517,2083,1389115331.23436,0,0.0,35612
1844,2536,1389121509.8996,0,0.0,35613
4046,3466,1389131253.20969,0,0.0,35614
3761,310,1389131267.31615,0,0.0,35615
3339,3961,1389134407.69624,0,0.0,35616
4151,1073,1389134453.21624,0,0.0,35617
3599,706,1389172384.21156,0,0.0,35618
4382,2471,1389207902.16534,0,0.0,35619
3379,4643,1389213253.07982,0,0.0,35620
1652,4453,1389221332.63869,0,0.0,35621
1050,267,1389221657.7279,0,0.0,35622
2229,2817,1389223863.71748,0,0.0,35623
4510,1645,1389223953.01751,0,0.0,35624
1998,895,1389304991.92957,0,0.0,35625
438,2350,1389305202.03491,0,0.0,35626
2955,3349,1389305278.45229,0,0.0,35627
3804,4372,1389355810.03015,0,0.0,35628
115,1275,1389360731.56377,0,0.0,35629
2078,2978,1389360795.8976,0,0.0,35630
3437,3079,1389363345.0898,0,0.0,35631
1941,599,1389408683.59814,0,0.0,35632
27,2698,1389515114.48352,0,0.0,35633
3768,514,1389528792.55236,0,0.0,35634
4348,473,1389528827.17151,0,0.0,35635
2503,1232,1389612757.8207,0,0.0,35636
1241,3678,1389612801.53012,0,0.0,35637
566,146,1389637086.7073,0,0.0,35638
704,1512,1389646057.15061,0,0.0,35639
3494,3096,1389649436.7762,0,0.0,35640
2768,876,1389649449.74791,0,0.0,35641
2051,720,1389735850.13821,0,0.0,35642
5041,2977,1389749425.14028,0,0.0,35643
5039,904,1389891712.58693,0,0.0,35644
2675,3782,1389903810.10226,0,0.0,35645
5142,4816,1389904317.79045,0,0.0,35646
736,1945,1389942027.69068,0,0.0,35647
826,3810,1389988246.51376,0,0.0,35648
3771,1375,1390009424.41616,0,0.0,35649
541,2016,1390029827.34631,0,0.0,35650
5121,1421,1390082695.03715,0,0.0,35651
4833,4470,1390110430.24396,0,0.0,35652
3369,483,1390110438.68572,0,0.0,35653
219,999,1390112015.76225,0,0.0,35654
3507,2656,1390112495.24674,0,0.0,35655
3390,3028,1390173372.16181,0,0.0,35656
3084,4941,1390185110.18564,0,0.0,35657
2928,4215,1390185117.65352,0,0.0,35658
522,285,1390233438.69312,0,0.0,35659
4055,3928,1390233552.45661,0,0.0,35660
3433,4062,1390233552.66878,0,0.0,35661
1400,518,1390233626.96774,0,0.0,35662
976,2738,1390235111.02529,0,0.0,35663
2245,1596,1390314016.21169,0,0.0,35664
4000,1424,1390314217.94349,0,0.0,35665
1423,1306,1390585587.22977,0,0.0,35666
2061,1077,1390586938.72003,0,0.0,35667
266,4254,1390587683.23851,0,0.0,35668
60,3739,1390596636.14294,0,0.0,35669
356,3058,1390651572.43012,0,0.0,35670
1226,4545,1390669271.99946,0,0.0,35671
3019,4767,1390689886.38673,0,0.0,35672
3003,697,1390739593.21799,0,0.0,35673
702,2418,1390774834.55329,0,0.0,35674
1073,4217,1390774991.31208,0,0.0,35675
