u,i,ts,label,weight,idx
43430,87951,1003701600,0,0.0,841373
3184,100136,1003701600,0,0.0,841374
23533,74502,1003701600,0,0.0,841375
33400,70760,1003701600,0,0.0,841376
451,84227,1003701600,0,0.0,841377
24162,69611,1003701600,0,0.0,841378
6022,19891,1003701600,0,0.0,841379
6022,12356,1003701600,0,0.0,841380
2379,24678,1003701600,0,0.0,841381
103764,101533,1003701600,0,0.0,841382
103764,31567,1003701600,0,0.0,841383
16974,1868,1003701600,0,0.0,841384
1653,33266,1003701600,0,0.0,841385
92804,12268,1003701600,0,0.0,841386
4875,88544,1003701600,0,0.0,841387
57098,72821,1003701600,0,0.0,841388
2722,13663,1003701600,0,0.0,841389
96117,4757,1003701600,0,0.0,841390
4875,42756,1003701600,0,0.0,841391
107183,34219,1003701600,0,0.0,841392
107183,63555,1003701600,0,0.0,841393
107183,60024,1003701600,0,0.0,841394
107183,122975,1003701600,0,0.0,841395
107183,127297,1003701600,0,0.0,841396
107183,95590,1003701600,0,0.0,841397
107183,36399,1003701600,0,0.0,841398
107183,3201,1003701600,0,0.0,841399
107183,85257,1003701600,0,0.0,841400
112248,115889,1003701600,0,0.0,841401
4656,66642,1003701600,0,0.0,841402
14229,37504,1003701600,0,0.0,841403
57077,75583,1003701600,0,0.0,841404
109886,58378,1003701600,0,0.0,841405
112257,129716,1003701600,0,0.0,841406
67278,18976,1003701600,0,0.0,841407
1895,30138,1003701600,0,0.0,841408
39949,42109,1003701600,0,0.0,841409
33951,81308,1003701600,0,0.0,841410
17359,42240,1003701600,0,0.0,841411
103277,6526,1003701600,0,0.0,841412
112259,73534,1003701600,0,0.0,841413
17060,93015,1003701600,0,0.0,841414
29377,57864,1003701600,0,0.0,841415
109886,43767,1003701600,0,0.0,841416
29377,51570,1003701600,0,0.0,841417
25957,53138,1003701600,0,0.0,841418
1653,76365,1003701600,0,0.0,841419
92800,96998,1003701600,0,0.0,841420
33951,92623,1003701600,0,0.0,841421
81179,82112,1003701600,0,0.0,841422
63645,85736,1003701600,0,0.0,841423
98405,28327,1003701600,0,0.0,841424
17359,28428,1003701600,0,0.0,841425
2184,129671,1003701600,0,0.0,841426
33951,130405,1003701600,0,0.0,841427
111909,68349,1003701600,0,0.0,841428
109886,29239,1003701600,0,0.0,841429
111909,112135,1003701600,0,0.0,841430
109796,20884,1003701600,0,0.0,841431
111909,94522,1003701600,0,0.0,841432
111909,13665,1003701600,0,0.0,841433
100089,107346,1003701600,0,0.0,841434
111909,21897,1003701600,0,0.0,841435
111909,96565,1003701600,0,0.0,841436
1691,127535,1003701600,0,0.0,841437
111909,48894,1003701600,0,0.0,841438
4771,1590,1003701600,0,0.0,841439
4771,78211,1003701600,0,0.0,841440
109886,74195,1003701600,0,0.0,841441
60091,109630,1003701600,0,0.0,841442
33932,59046,1003701600,0,0.0,841443
975,13854,1003701600,0,0.0,841444
7856,74059,1003701600,0,0.0,841445
1289,79927,1003701600,0,0.0,841446
1289,12277,1003701600,0,0.0,841447
57079,70384,1003701600,0,0.0,841448
2843,91094,1003701600,0,0.0,841449
1091,14395,1003701600,0,0.0,841450
1688,60421,1003701600,0,0.0,841451
58328,34714,1003701600,0,0.0,841452
1323,56261,1003701600,0,0.0,841453
105298,100819,1003701600,0,0.0,841454
1483,131562,1003701600,0,0.0,841455
102925,117270,1003701600,0,0.0,841456
104631,86617,1003701600,0,0.0,841457
112242,114673,1003701600,0,0.0,841458
16994,40457,1003701600,0,0.0,841459
579,34262,1003701600,0,0.0,841460
112275,88115,1003701600,0,0.0,841461
17377,43929,1003701600,0,0.0,841462
107183,1018,1003701600,0,0.0,841463
23260,65473,1003701600,0,0.0,841464
6912,73518,1003701600,0,0.0,841465
5883,46706,1003701600,0,0.0,841466
111531,89852,1003701600,0,0.0,841467
112240,76817,1003701600,0,0.0,841468
1686,91817,1003701600,0,0.0,841469
98728,113952,1003701600,0,0.0,841470
2379,49046,1003701600,0,0.0,841471
112241,50633,1003701600,0,0.0,841472
3899,19741,1003701600,0,0.0,841473
3899,60804,1003701600,0,0.0,841474
3899,77422,1003701600,0,0.0,841475
3899,67863,1003701600,0,0.0,841476
3899,10763,1003701600,0,0.0,841477
112133,91446,1003701600,0,0.0,841478
102925,22394,1003701600,0,0.0,841479
9758,89539,1003701600,0,0.0,841480
33991,105163,1003701600,0,0.0,841481
6,115693,1003701600,0,0.0,841482
17382,39858,1003701600,0,0.0,841483
3846,71167,1003701600,0,0.0,841484
104547,77666,1003701600,0,0.0,841485
3335,58790,1003701600,0,0.0,841486
33991,4067,1003701600,0,0.0,841487
112246,126255,1003701600,0,0.0,841488
4749,5118,1003701600,0,0.0,841489
10862,42101,1003701600,0,0.0,841490
17355,8226,1003701600,0,0.0,841491
92800,18013,1003701600,0,0.0,841492
108807,49528,1003701600,0,0.0,841493
102653,90003,1003701600,0,0.0,841494
914,25559,1003701600,0,0.0,841495
111162,2711,1003701600,0,0.0,841496
112245,5477,1003701600,0,0.0,841497
4775,17164,1003701600,0,0.0,841498
579,40667,1003701600,0,0.0,841499
92798,66144,1003701600,0,0.0,841500
950,93038,1003701600,0,0.0,841501
92798,58483,1003701600,0,0.0,841502
579,130111,1003701600,0,0.0,841503
92798,82414,1003701600,0,0.0,841504
92798,60712,1003701600,0,0.0,841505
4448,72926,1003701600,0,0.0,841506
92798,122663,1003701600,0,0.0,841507
1119,3574,1003701600,0,0.0,841508
7767,16759,1003701600,0,0.0,841509
112244,28714,1003701600,0,0.0,841510
23079,111286,1003701600,0,0.0,841511
6489,20179,1003701600,0,0.0,841512
6489,121946,1003701600,0,0.0,841513
112161,30032,1003701600,0,0.0,841514
103277,86184,1003701600,0,0.0,841515
1688,72249,1003701600,0,0.0,841516
5518,16037,1003701600,0,0.0,841517
9072,93249,1003701600,0,0.0,841518
23478,117025,1003701600,0,0.0,841519
112271,76369,1003701600,0,0.0,841520
4062,4986,1003701600,0,0.0,841521
4062,16769,1003701600,0,0.0,841522
112273,71273,1003701600,0,0.0,841523
23516,118821,1003701600,0,0.0,841524
17355,4831,1003701600,0,0.0,841525
57106,7598,1003701600,0,0.0,841526
57106,72533,1003701600,0,0.0,841527
47387,23475,1003701600,0,0.0,841528
43430,73407,1003701600,0,0.0,841529
111324,63187,1003701600,0,0.0,841530
1706,94984,1003701600,0,0.0,841531
66502,63111,1003701600,0,0.0,841532
112032,98875,1003701600,0,0.0,841533
16927,96678,1003701600,0,0.0,841534
3904,22100,1003701600,0,0.0,841535
16994,125287,1003701600,0,0.0,841536
16974,82467,1003701600,0,0.0,841537
104489,58640,1003701600,0,0.0,841538
92847,8766,1003701600,0,0.0,841539
