u,i,ts,label,weight,idx
3184,3848,1003701600,1,1,715235
24162,7856,1003701600,1,1,715238
24162,17355,1003701600,1,1,715239
24162,5052,1003701600,1,1,715240
3184,3657,1003701600,1,1,715241
24162,1091,1003701600,1,1,715243
6022,15137,1003701600,1,1,715247
42300,366,1003701600,1,1,715251
24162,1910,1003701600,1,1,715252
6022,716,1003701600,1,1,715254
4749,914,1003701600,1,1,715262
4749,3338,1003701600,1,1,715263
6022,1686,1003701600,1,1,715264
29377,11430,1003701600,1,1,715281
1362,6801,1003701600,1,1,715282
29377,11409,1003701600,-1,-1,715285
29377,32033,1003701600,1,1,715298
29377,7342,1003701600,1,1,715299
29377,17103,1003701600,1,1,715319
1380,7413,1003701600,-1,-1,715324
579,14071,1003701600,-1,-1,715325
2843,2497,1003701600,-1,-1,715331
1457,4960,1003701600,1,1,715333
1688,3484,1003701600,1,1,715335
2997,8931,1003701600,1,1,715341
3899,1688,1003701600,1,1,715362
3899,10198,1003701600,1,1,715363
1483,2497,1003701600,-1,-1,715365
5757,1328,1003701600,1,1,715370
2379,1811,1003701600,-1,-1,715372
4875,451,1003701600,1,1,715385
3168,2948,1003701600,1,1,715388
6022,28306,1003701600,1,1,715400
3248,4088,1003701600,1,1,715402
6489,6433,1003701600,1,1,715405
6489,4771,1003701600,1,1,715407
34734,1910,1003701600,1,1,715421
9072,29633,1003701600,1,1,715422
168,1938,1003701600,1,1,715437
168,51624,1003701600,1,1,715438
168,70297,1003701600,1,1,715439
5562,60091,1003701600,1,1,715446
1653,14763,1003701600,-1,-1,715477
3616,2034,1003701600,1,1,715491
34095,1322,1003701600,-1,-1,715509
34095,10159,1003701600,-1,-1,715510
34095,1892,1003701600,-1,-1,715511
60091,9847,1003701600,1,1,715512
12879,1333,1003701600,1,1,715517
3184,2791,1003701600,1,1,715520
4749,1365,1003701600,1,1,715525
29377,2637,1003701600,-1,-1,715530
29377,59753,1003701600,-1,-1,715533
29377,15464,1003701600,-1,-1,715536
29377,15438,1003701600,-1,-1,715539
29377,24919,1003701600,-1,-1,715540
29377,3692,1003701600,-1,-1,715541
29377,9072,1003701600,-1,-1,715543
7411,64829,1003701600,-1,-1,715546
29377,15024,1003701600,-1,-1,715548
168,1967,1003701600,1,1,715554
168,16174,1003701600,1,1,715559
168,15276,1003701600,1,1,715561
168,8722,1003701600,1,1,715563
168,14323,1003701600,1,1,715568
168,1393,1003701600,1,1,715571
28512,556,1003701600,1,1,715573
14763,3891,1003701600,1,1,715574
5158,2223,1003701600,1,1,715576
1653,15069,1003701600,-1,-1,715581
36386,1119,1003701600,1,1,715587
3848,2034,1003701600,1,1,715588
3891,2843,1003701600,1,1,715589
36386,5292,1003701600,1,1,715591
514,3899,1003788000,1,1,715593
3657,3848,1003788000,1,1,715611
168,47387,1003788000,1,1,715612
168,17013,1003788000,1,1,715615
3175,451,1003788000,1,1,715619
1380,6022,1003788000,1,1,715624
451,6801,1003788000,1,1,715631
13993,1457,1003788000,1,1,715632
1871,2843,1003788000,1,1,715633
1871,19827,1003788000,1,1,715634
3359,6801,1003788000,1,1,715643
168,3298,1003788000,1,1,715652
3184,924,1003788000,1,1,715655
6801,15137,1003788000,1,1,715660
3359,1692,1003788000,1,1,715661
4351,136,1003788000,1,1,715662
1445,1464,1003788000,1,1,715665
5571,6947,1003788000,1,1,715670
4966,4351,1003788000,1,1,715672
5571,5228,1003788000,1,1,715679
6801,60091,1003788000,1,1,715682
26,4266,1003788000,-1,-1,715683
