u,i,ts,label,weight,idx
108639,52119,1003701600,0,0.0,841372
62578,1680,1003701600,0,0.0,841373
43031,19597,1003701600,0,0.0,841374
47140,57890,1003701600,0,0.0,841375
62180,71946,1003701600,0,0.0,841376
78503,32307,1003701600,0,0.0,841377
46227,111254,1003701600,0,0.0,841378
61149,80472,1003701600,0,0.0,841379
49482,32388,1003701600,0,0.0,841380
106628,103399,1003701600,0,0.0,841381
14501,95085,1003701600,0,0.0,841382
44524,101762,1003701600,0,0.0,841383
74451,111618,1003701600,0,0.0,841384
108516,48547,1003701600,0,0.0,841385
57425,63509,1003701600,0,0.0,841386
74368,72228,1003701600,0,0.0,841387
29199,50183,1003701600,0,0.0,841388
93503,70613,1003701600,0,0.0,841389
10687,77586,1003701600,0,0.0,841390
21471,14185,1003701600,0,0.0,841391
27217,9109,1003701600,0,0.0,841392
22486,4140,1003701600,0,0.0,841393
83925,5874,1003701600,0,0.0,841394
56471,20335,1003701600,0,0.0,841395
81262,79863,1003701600,0,0.0,841396
22185,77952,1003701600,0,0.0,841397
26699,69168,1003701600,0,0.0,841398
16374,3194,1003701600,0,0.0,841399
74451,14758,1003701600,0,0.0,841400
26809,50612,1003701600,0,0.0,841401
41825,55877,1003701600,0,0.0,841402
18917,48115,1003701600,0,0.0,841403
42528,22799,1003701600,0,0.0,841404
91547,64656,1003701600,0,0.0,841405
55318,32364,1003701600,0,0.0,841406
98886,25630,1003701600,0,0.0,841407
42107,86466,1003701600,0,0.0,841408
37779,75941,1003701600,0,0.0,841409
43335,9441,1003701600,0,0.0,841410
50728,40646,1003701600,0,0.0,841411
36274,71664,1003701600,0,0.0,841412
30625,34160,1003701600,0,0.0,841413
46129,96460,1003701600,0,0.0,841414
107583,44411,1003701600,0,0.0,841415
77899,84758,1003701600,0,0.0,841416
25594,40277,1003701600,0,0.0,841417
50009,38582,1003701600,0,0.0,841418
99762,67344,1003701600,0,0.0,841419
64518,13709,1003701600,0,0.0,841420
32078,32622,1003701600,0,0.0,841421
30237,98396,1003701600,0,0.0,841422
9574,39284,1003701600,0,0.0,841423
61485,75842,1003701600,0,0.0,841424
42580,54199,1003701600,0,0.0,841425
53386,60244,1003701600,0,0.0,841426
47888,44011,1003701600,0,0.0,841427
19166,12048,1003701600,0,0.0,841428
40769,53898,1003701600,0,0.0,841429
83402,81535,1003701600,0,0.0,841430
14883,92788,1003701600,0,0.0,841431
4343,54085,1003701600,0,0.0,841432
56363,31323,1003701600,0,0.0,841433
51785,26991,1003701600,0,0.0,841434
13435,49713,1003701600,0,0.0,841435
68186,107359,1003701600,0,0.0,841436
100277,80561,1003701600,0,0.0,841437
33555,26699,1003701600,0,0.0,841438
107175,55660,1003701600,0,0.0,841439
3590,70049,1003701600,0,0.0,841440
101999,1678,1003701600,0,0.0,841441
63247,46327,1003701600,0,0.0,841442
37037,28099,1003701600,0,0.0,841443
21378,73898,1003701600,0,0.0,841444
32198,63556,1003701600,0,0.0,841445
110404,101737,1003788000,0,0.0,841446
