u,i,ts,label,weight,idx
6779,9954,1273754940,0,0.0,170500
1928,9650,1273756200,0,0.0,170501
10337,3714,1273756560,0,0.0,170502
7222,8335,1273758300,0,0.0,170503
10127,9941,1273758720,0,0.0,170504
3083,1732,1273758900,0,0.0,170505
8075,4109,1273759560,0,0.0,170506
1947,1136,1273759920,0,0.0,170507
8817,10249,1273760040,0,0.0,170508
7965,1164,1273761180,0,0.0,170509
1653,3883,1273761900,0,0.0,170510
7384,592,1273762080,0,0.0,170511
4058,4587,1273762140,0,0.0,170512
4096,962,1273763340,0,0.0,170513
1711,6323,1273763400,0,0.0,170514
3086,9143,1273763460,0,0.0,170515
10181,9969,1273763520,0,0.0,170516
2639,4385,1273765740,0,0.0,170517
9165,1598,1273766220,0,0.0,170518
4555,1896,1273767660,0,0.0,170519
986,3489,1273767780,0,0.0,170520
8742,1930,1273767840,0,0.0,170521
7917,6935,1273767900,0,0.0,170522
5330,1501,1273768080,0,0.0,170523
7402,8817,1273768200,0,0.0,170524
5563,5094,1273768380,0,0.0,170525
8701,4966,1273768620,0,0.0,170526
7361,7327,1273771140,0,0.0,170527
4832,6373,1273771680,0,0.0,170528
6700,10099,1273772520,0,0.0,170529
8105,7089,1273772760,0,0.0,170530
6250,1052,1273773660,0,0.0,170531
442,5921,1273773960,0,0.0,170532
6602,9708,1273774140,0,0.0,170533
6401,3810,1273774140,0,0.0,170534
9085,3104,1273774440,0,0.0,170535
6429,6764,1273776060,0,0.0,170536
1180,3482,1273776780,0,0.0,170537
10028,3841,1273782900,0,0.0,170538
9559,5680,1273782960,0,0.0,170539
1597,6129,1273783080,0,0.0,170540
2553,10338,1273785420,0,0.0,170541
625,9111,1273790100,0,0.0,170542
2469,3324,1273790220,0,0.0,170543
9047,1497,1273790460,0,0.0,170544
9091,9580,1273790640,0,0.0,170545
3454,10497,1273791420,0,0.0,170546
3164,10493,1273791600,0,0.0,170547
7517,9467,1273792500,0,0.0,170548
4252,100,1273793580,0,0.0,170549
5775,7899,1273793580,0,0.0,170550
9037,7448,1273793940,0,0.0,170551
2552,9428,1273794240,0,0.0,170552
10216,9883,1273794720,0,0.0,170553
8330,8803,1273794960,0,0.0,170554
4793,6010,1273795440,0,0.0,170555
1651,10453,1273795680,0,0.0,170556
1644,5282,1273798680,0,0.0,170557
4118,6009,1273799040,0,0.0,170558
3818,6932,1273799100,0,0.0,170559
869,8933,1273799460,0,0.0,170560
2343,3340,1273799760,0,0.0,170561
5965,8243,1273800540,0,0.0,170562
6986,8963,1273800540,0,0.0,170563
2020,4037,1273800600,0,0.0,170564
786,1854,1273801140,0,0.0,170565
5729,5281,1273801140,0,0.0,170566
9451,7690,1273802040,0,0.0,170567
1735,9409,1273803240,0,0.0,170568
557,8884,1273804140,0,0.0,170569
9808,5398,1273810500,0,0.0,170570
5333,2226,1273813980,0,0.0,170571
2114,3711,1273817520,0,0.0,170572
8780,4235,1273824180,0,0.0,170573
9583,9794,1273824240,0,0.0,170574
7260,6160,1273830960,0,0.0,170575
8260,3590,1273835820,0,0.0,170576
1956,8747,1273838640,0,0.0,170577
10407,2124,1273843380,0,0.0,170578
8120,7299,1273845180,0,0.0,170579
2843,2988,1273846260,0,0.0,170580
4931,9125,1273846560,0,0.0,170581
3738,9732,1273846680,0,0.0,170582
5041,8079,1273847100,0,0.0,170583
5570,5398,1273854660,0,0.0,170584
3831,3553,1273855320,0,0.0,170585
1174,1910,1273858260,0,0.0,170586
5461,775,1273858800,0,0.0,170587
6879,7913,1273859940,0,0.0,170588
8276,7627,1273861020,0,0.0,170589
9523,7905,1273863720,0,0.0,170590
3784,5680,1273866300,0,0.0,170591
8084,2572,1273869060,0,0.0,170592
8903,4292,1273874760,0,0.0,170593
9792,4459,1273879800,0,0.0,170594
10567,956,1273880760,0,0.0,170595
9187,8318,1273886580,0,0.0,170596
8107,1485,1273887720,0,0.0,170597
2876,9647,1273892100,0,0.0,170598
1156,1660,1273892520,0,0.0,170599
9969,1411,1273892640,0,0.0,170600
2838,8814,1273905240,0,0.0,170601
5688,7873,1273905360,0,0.0,170602
7555,8635,1273913520,0,0.0,170603
7872,1541,1273942200,0,0.0,170604
