u,i,ts,label,weight,idx
1236,5643,1083384540,1,1,1
3008,6078,1083385380,1,1,2
9096,1236,1083386640,1,1,3
3244,7606,1083396660,1,1,4
3244,1236,1083396780,1,1,5
3244,7488,1083397140,1,1,6
2180,1236,1083423660,1,1,7
7483,7606,1083423720,1,1,8
7483,1236,1083423780,1,1,9
1870,7606,1083443940,1,1,10
702,6364,1083453600,1,1,11
293,7606,1083454680,1,1,12
293,1236,1083454740,1,1,13
2180,6364,1083457140,1,1,14
3377,6364,1083457320,1,1,15
7483,6364,1083459120,1,1,18
9096,6364,1083461400,1,1,22
7483,6078,1083461580,1,1,23
8234,6364,1083464400,1,1,24
3506,6364,1083466920,1,1,25
7483,8093,1083470700,1,1,26
4848,5643,1083477300,1,1,28
4848,6364,1083477360,1,1,29
3450,5911,1083477420,1,1,30
7483,5911,1083477480,1,1,31
9301,5911,1083478200,1,1,32
2270,5643,1083478260,1,1,33
8234,5911,1083481020,1,1,34
4160,7606,1083482640,1,1,35
2321,6795,1083487440,1,1,37
3244,5911,1083505020,1,1,38
1366,6795,1083511200,1,1,39
615,6795,1083513480,1,1,40
615,1236,1083513600,1,1,41
615,5911,1083513600,1,1,42
615,6364,1083513600,1,1,43
7483,4705,1083517500,1,1,44
3506,5911,1083518400,1,1,45
10470,6364,1083524700,1,1,46
10470,7606,1083524700,1,1,47
3008,4705,1083525960,1,1,48
4410,6364,1083526320,1,1,49
293,5911,1083534480,1,1,50
2807,6364,1083544140,1,1,51
2985,4705,1083545820,1,1,52
2321,7606,1083546960,-1,-1,53
5529,1236,1083549240,1,1,54
5529,4705,1083550260,1,1,55
1825,6795,1083557640,1,1,56
4410,4705,1083559080,1,1,57
4410,6795,1083559080,1,1,58
4410,5911,1083559140,1,1,59
4410,8093,1083559200,1,1,60
10552,4705,1083559320,1,1,61
3244,8093,1083559740,1,1,62
4410,1236,1083560220,1,1,63
4410,7488,1083560280,1,1,64
4410,7835,1083560340,1,1,65
4410,6078,1083560400,1,1,66
4149,6078,1083561840,1,1,68
5707,4705,1083573420,1,1,69
7,7606,1083579840,1,1,70
7,1236,1083579960,1,1,71
2711,4705,1083600540,1,1,72
2711,6364,1083600600,1,1,73
2711,8093,1083601320,1,1,74
4781,1236,1083602880,1,1,75
4781,5911,1083602880,1,1,76
4781,6364,1083602880,1,1,77
4781,8093,1083602880,1,1,78
9096,9496,1083609660,1,1,79
2711,9496,1083615900,1,1,80
7483,9496,1083615960,1,1,81
2321,9301,1083624360,1,1,82
615,4705,1083624840,1,1,83
615,9301,1083624840,1,1,84
615,9496,1083624840,1,1,85
2321,5911,1083624960,1,1,86
2321,6364,1083625080,1,1,87
2711,9301,1083626280,1,1,88
7483,9301,1083626700,1,1,89
2711,5917,1083626820,1,1,90
615,5917,1083627420,1,1,91
8234,7606,1083628740,1,1,92
2321,5917,1083636180,1,1,93
2321,4705,1083636240,1,1,94
3244,5917,1083637140,1,1,95
4919,9496,1083637200,1,1,96
3506,7606,1083640200,1,1,97
3506,5917,1083640260,1,1,98
3506,9301,1083640260,1,1,99
3506,9496,1083640380,1,1,100
3506,4705,1083640440,1,1,101
3506,6795,1083640500,1,1,102
3506,8093,1083640500,1,1,103
2985,6078,1083647460,1,1,105
1699,7606,1083677700,1,1,106
2180,9301,1083690360,1,1,107
4781,9496,1083690420,1,1,108
9096,5911,1083693780,1,1,109
3538,1236,1083695100,1,1,110
3538,5911,1083695460,1,1,111
3538,9496,1083695580,1,1,112
3538,9301,1083695700,1,1,113
3538,5917,1083695820,1,1,114
3008,9496,1083703020,1,1,115
4919,7606,1083720600,1,1,116
9096,5911,1083726720,1,1,117
2807,9496,1083727200,1,1,118
8234,9301,1083733620,1,1,119
3244,4705,1083763740,1,1,120
4110,6364,1083767700,1,1,121
2387,7606,1083779220,1,1,122
3817,9496,1083786420,1,1,123
7576,9496,1083793680,1,1,124
293,5917,1083798300,1,1,125
293,9301,1083798480,1,1,126
1366,9301,1083823140,1,1,127
4062,9301,1083824400,1,1,128
4062,5911,1083824760,1,1,129
4781,4705,1083876960,1,1,130
6722,7606,1083883680,-1,-1,131
6722,8093,1083944520,1,1,136
7974,1236,1083945660,1,1,137
6722,6795,1083946260,-1,-1,138
393,5911,1083952200,1,1,139
9096,7606,1083952740,-1,-1,140
2321,9496,1083964560,1,1,141
3506,5569,1083998520,1,1,142
1236,5917,1084007220,1,1,143
1825,4352,1084054740,1,1,145
8828,5569,1084058520,1,1,146
8828,5911,1084058700,1,1,147
8828,5917,1084058700,1,1,148
1749,4410,1084061280,1,1,149
3244,5569,1084062180,-1,-1,150
3244,6795,1084062300,-1,-1,151
3008,4352,1084063980,1,1,153
393,5917,1084066680,1,1,154
7483,4410,1084138260,1,1,157
1870,5569,1084159800,-1,-1,158
1236,5569,1084187940,-1,-1,159
3377,4352,1084212900,1,1,160
2238,4410,1084301220,1,1,161
10470,4410,1084304280,1,1,162
10470,4352,1084304520,1,1,163
10470,5569,1084304580,1,1,164
724,4352,1084320300,1,1,165
9096,4410,1084334460,1,1,166
8234,4410,1084334580,1,1,167
2238,8457,1084389900,-1,-1,168
4781,4410,1084392180,1,1,169
2843,8457,1084407180,-1,-1,170
2321,4410,1084416960,-1,-1,171
2321,8457,1084417020,-1,-1,172
615,4352,1084417140,1,1,173
2321,4352,1084417260,1,1,174
7483,4410,1084460580,1,1,175
9170,4410,1084460760,1,1,176
9027,8457,1084466220,1,1,177
4680,4352,1084468800,1,1,178
3377,8457,1084476300,1,1,179
6364,4410,1084482660,1,1,180
4585,8457,1084484280,1,1,181
6722,8457,1084484820,-1,-1,182
2711,8457,1084487760,-1,-1,183
5707,7877,1084548000,1,1,185
2711,7877,1084550040,1,1,186
6722,7877,1084550400,1,1,187
9096,7877,1084551060,1,1,188
1870,7877,1084552620,1,1,189
9027,7877,1084560120,1,1,190
3066,7877,1084563480,1,1,191
8234,7877,1084568760,1,1,192
2238,7877,1084569180,1,1,193
3817,4352,1084571100,1,1,194
4781,7877,1084574400,1,1,195
4815,8457,1084580760,-1,-1,196
1236,7877,1084583400,1,1,197
3377,7877,1084584780,1,1,199
3021,4410,1084634580,1,1,201
724,4410,1084640640,1,1,202
10470,7877,1084648260,1,1,203
3506,8457,1084682340,1,1,204
10086,7877,1084682460,1,1,205
3506,7877,1084682640,1,1,206
5917,7999,1084699020,1,1,207
724,7877,1084722180,1,1,208
7483,7999,1084727640,1,1,209
3244,7999,1084728600,1,1,210
6364,7999,1084737480,1,1,211
2238,7999,1084738020,1,1,212
9027,7999,1084741620,1,1,213
3008,7999,1084741680,1,1,214
4680,7999,1084743180,1,1,215
8828,7877,1084746180,1,1,216
8828,7999,1084746180,1,1,217
8828,8457,1084746180,1,1,218
471,7999,1084749540,1,1,219
724,7999,1084754520,1,1,221
724,8457,1084754760,1,1,222
10470,7999,1084795560,1,1,223
8096,7999,1084797180,1,1,224
1236,7999,1084799040,1,1,225
2711,7999,1084810500,1,1,226
8718,7877,1084817220,1,1,227
7483,5822,1084836000,1,1,228
2711,5822,1084836120,1,1,229
3377,5822,1084838220,1,1,230
10570,5822,1084846140,1,1,231
10570,7877,1084846140,1,1,232
10570,7999,1084846140,1,1,233
1003,5822,1084847640,1,1,234
1003,7999,1084847700,1,1,235
3817,8967,1084881180,1,1,236
7974,8457,1084885920,1,1,237
2321,8967,1084886580,1,1,238
2321,8967,1084886880,1,1,239
2321,7877,1084887120,1,1,240
1003,8967,1084892640,1,1,241
5707,8967,1084894860,-1,-1,242
10470,8967,1084901460,1,1,243
4781,5822,1084910400,1,1,244
4781,8967,1084910400,1,1,245
7862,7877,1084915500,1,1,246
1753,7999,1084935660,1,1,247
8234,5822,1084949340,1,1,248
2321,4933,1084991880,1,1,249
4594,7877,1084992360,1,1,250
3244,4933,1084992900,-1,-1,251
4594,4933,1084993020,-1,-1,252
9301,8967,1084994820,1,1,253
3244,8967,1084995000,-1,-1,254
3008,8967,1085001900,1,1,255
8234,8967,1085002860,1,1,256
6364,8967,1085006820,1,1,257
10470,8457,1085011140,-1,-1,258
2985,8457,1085012460,1,1,259
1825,5822,1085013060,1,1,260
1825,727,1085013360,1,1,261
1825,7999,1085013540,1,1,262
1825,8457,1085013660,-1,-1,263
1825,7877,1085013720,1,1,264
2238,727,1085020380,1,1,265
2985,4933,1085030700,-1,-1,268
4062,7877,1085036640,1,1,272
4062,727,1085036880,1,1,273
1749,727,1085045580,1,1,274
9921,727,1085057340,1,1,275
7483,727,1085058720,1,1,276
1870,727,1085064660,1,1,277
471,727,1085068800,1,1,278
2387,8967,1085077800,1,1,279
3244,727,1085079660,1,1,280
8718,727,1085080140,1,1,281
4594,727,1085084400,1,1,282
2387,185,1085099700,1,1,283
8234,727,1085104140,1,1,284
8234,185,1085104260,1,1,285
5707,5822,1085167500,1,1,286
5529,7999,1085201700,1,1,287
5529,5822,1085201760,1,1,288
5529,727,1085201820,1,1,289
2347,185,1085260680,1,1,296
2347,4933,1085260740,1,1,297
10470,185,1085452620,1,1,301
2321,1870,1085480520,1,1,302
3817,1870,1085481060,1,1,303
615,1870,1085482260,1,1,304
10439,1870,1085483220,1,1,306
2180,1870,1085483880,1,1,307
10470,1870,1085490780,1,1,308
7483,185,1085490900,1,1,309
7483,1870,1085490900,1,1,310
6722,1870,1085499780,1,1,312
3008,1870,1085500080,1,1,314
4594,1870,1085508420,1,1,317
4781,1870,1085516820,1,1,318
6052,1870,1085520600,-1,-1,319
2985,1870,1085604720,-1,-1,321
6722,185,1085605980,-1,-1,322
6364,1870,1085611260,1,1,323
7483,5924,1085753100,1,1,327
3244,5924,1085753940,1,1,328
4594,185,1085755440,1,1,329
1236,5924,1085756880,1,1,330
7483,10522,1085775960,1,1,331
4657,10522,1085804820,1,1,332
2788,5924,1085869800,1,1,333
2321,4594,1085930700,1,1,334
5917,4594,1085931300,1,1,335
80,4594,1085931840,1,1,336
4410,4594,1085932680,1,1,337
4410,10522,1085932800,1,1,338
4410,5924,1085932860,1,1,339
4410,1870,1085933040,1,1,340
7483,4594,1085935140,1,1,341
9301,1870,1085939400,1,1,342
6722,4594,1085940240,-1,-1,343
6722,10522,1085940420,-1,-1,344
9096,4594,1085940540,-1,-1,345
9096,10522,1085940540,-1,-1,346
9096,1870,1085940780,1,1,347
9096,5924,1085940780,1,1,348
4594,10522,1085944680,1,1,350
4594,5924,1085945400,1,1,351
10522,4594,1085945820,1,1,352
10522,5924,1085946420,1,1,353
2985,4594,1085955540,-1,-1,354
10470,5924,1085955720,1,1,355
10470,4594,1085955900,1,1,356
10470,10522,1085955900,1,1,357
10570,1870,1085967960,1,1,358
3244,4594,1085974260,1,1,359
3008,4594,1085983500,1,1,360
2387,4594,1086009600,1,1,361
7877,1870,1086024420,1,1,362
7877,4594,1086024420,1,1,363
7877,5924,1086024420,1,1,364
1825,5924,1086045720,1,1,365
1233,9549,1114906200,1,1,367
8017,9549,1114906920,1,1,368
1870,9549,1114908900,1,1,369
740,9549,1114909200,1,1,370
8205,9549,1114909260,1,1,371
9714,9549,1114930680,1,1,373
7022,9549,1114942920,1,1,374
7788,3855,1114952640,-1,-1,375
4062,9549,1114952880,1,1,376
7231,7022,1114954200,1,1,377
7231,9549,1114954200,1,1,378
6035,9549,1114954680,1,1,379
6035,7022,1114954860,1,1,380
6035,4864,1114955100,1,1,381
4107,9549,1114956300,1,1,382
9301,9549,1114957680,-1,-1,383
8108,9549,1114958940,1,1,384
740,9843,1114959900,1,1,385
1127,9843,1114972260,1,1,391
