u,i,ts,label,weight,idx
1236,9531,1083384540,0,0.0,119350
3008,4968,1083385380,0,0.0,119351
9096,1672,1083386640,0,0.0,119352
3244,3833,1083396660,0,0.0,119353
3244,2880,1083396780,0,0.0,119354
3244,939,1083397140,0,0.0,119355
2180,9205,1083423660,0,0.0,119356
7483,7680,1083423720,0,0.0,119357
7483,3024,1083423780,0,0.0,119358
1870,8615,1083443940,0,0.0,119359
702,8882,1083453600,0,0.0,119360
293,1193,1083454680,0,0.0,119361
293,2324,1083454740,0,0.0,119362
2180,331,1083457140,0,0.0,119363
3377,4958,1083457320,0,0.0,119364
7483,9899,1083459120,0,0.0,119365
9096,3571,1083461400,0,0.0,119366
7483,4722,1083461580,0,0.0,119367
8234,2511,1083464400,0,0.0,119368
3506,9095,1083466920,0,0.0,119369
7483,6337,1083470700,0,0.0,119370
4848,1411,1083477300,0,0.0,119371
4848,9363,1083477360,0,0.0,119372
3450,8835,1083477420,0,0.0,119373
7483,9026,1083477480,0,0.0,119374
9301,4410,1083478200,0,0.0,119375
2270,7670,1083478260,0,0.0,119376
8234,4087,1083481020,0,0.0,119377
4160,3112,1083482640,0,0.0,119378
2321,6985,1083487440,0,0.0,119379
3244,4075,1083505020,0,0.0,119380
1366,8595,1083511200,0,0.0,119381
615,8023,1083513480,0,0.0,119382
615,2607,1083513600,0,0.0,119383
615,7291,1083513600,0,0.0,119384
615,9508,1083513600,0,0.0,119385
7483,2931,1083517500,0,0.0,119386
3506,8426,1083518400,0,0.0,119387
10470,7699,1083524700,0,0.0,119388
10470,10342,1083524700,0,0.0,119389
3008,8817,1083525960,0,0.0,119390
4410,7258,1083526320,0,0.0,119391
293,7214,1083534480,0,0.0,119392
2807,10043,1083544140,0,0.0,119393
2985,4507,1083545820,0,0.0,119394
2321,6865,1083546960,0,0.0,119395
5529,1425,1083549240,0,0.0,119396
5529,7678,1083550260,0,0.0,119397
1825,1747,1083557640,0,0.0,119398
4410,7397,1083559080,0,0.0,119399
4410,7858,1083559080,0,0.0,119400
4410,6096,1083559140,0,0.0,119401
4410,4249,1083559200,0,0.0,119402
10552,584,1083559320,0,0.0,119403
3244,1518,1083559740,0,0.0,119404
4410,2880,1083560220,0,0.0,119405
4410,4394,1083560280,0,0.0,119406
4410,6313,1083560340,0,0.0,119407
4410,5981,1083560400,0,0.0,119408
4149,3158,1083561840,0,0.0,119409
5707,1040,1083573420,0,0.0,119410
7,2723,1083579840,0,0.0,119411
7,5397,1083579960,0,0.0,119412
2711,9538,1083600540,0,0.0,119413
2711,4512,1083600600,0,0.0,119414
2711,5201,1083601320,0,0.0,119415
4781,7397,1083602880,0,0.0,119416
4781,8867,1083602880,0,0.0,119417
4781,3851,1083602880,0,0.0,119418
4781,2601,1083602880,0,0.0,119419
9096,3697,1083609660,0,0.0,119420
2711,9450,1083615900,0,0.0,119421
7483,9920,1083615960,0,0.0,119422
2321,753,1083624360,0,0.0,119423
