u,i,ts,label,weight,idx
6710,323,1275343380,1,1,145592
1246,323,1275346380,-1,-1,145602
1752,323,1275359340,1,1,145617
8053,323,1275366480,-1,-1,145622
2717,323,1275370980,-1,-1,145624
9174,323,1275382020,-1,-1,145630
9753,323,1275419460,-1,-1,145637
2829,323,1275430020,1,1,145641
1046,323,1275447840,-1,-1,145649
4970,323,1275454560,-1,-1,145653
1146,323,1275463920,1,1,145654
2655,323,1275497280,1,1,145657
7062,6811,1277025180,1,1,146278
1368,6811,1277032800,1,1,146283
9710,6811,1277045820,1,1,146291
117,6811,1277046060,1,1,146292
9052,6811,1277056560,1,1,146304
4450,6811,1277058720,1,1,146308
1146,6811,1277062440,1,1,146311
3824,6811,1277062740,1,1,146312
2526,6811,1277065980,1,1,146314
2079,6811,1277069280,1,1,146317
3277,6811,1277070900,1,1,146319
323,6811,1277080680,1,1,146325
2670,6811,1277091300,1,1,146328
7943,6811,1277093520,1,1,146329
8053,6811,1277094180,1,1,146330
9412,6811,1277105700,1,1,146335
2196,6811,1277127060,1,1,146344
7208,6811,1277128380,1,1,146346
2655,6811,1277145540,1,1,146354
753,6811,1277150580,1,1,146358
8607,6811,1277159760,1,1,146360
9833,6811,1277163600,1,1,146362
5560,6811,1277175660,1,1,146366
8497,6811,1277218500,1,1,146372
7706,6811,1277221200,1,1,146373
4470,6811,1277222100,1,1,146374
1697,6811,1277248200,1,1,146379
6501,6811,1277264580,1,1,146380
8326,6811,1277268480,1,1,146382
8053,6094,1277309700,-1,-1,146392
3372,6094,1277316600,1,1,146402
10291,6811,1277320860,1,1,146407
7405,6811,1277326380,1,1,146411
10010,6094,1277329980,-1,-1,146414
6674,6094,1277331300,-1,-1,146415
5824,6094,1277334180,-1,-1,146418
1752,6094,1277336460,1,1,146419
6618,6094,1277336820,-1,-1,146420
9891,6094,1277344380,-1,-1,146422
2670,6094,1277347080,-1,-1,146424
5799,6094,1277363820,1,1,146428
8018,6094,1277370420,-1,-1,146431
972,6811,1277390160,1,1,146437
2712,6094,1277392260,-1,-1,146438
5939,6094,1277392500,1,1,146439
7208,6094,1277397180,1,1,146445
753,6094,1277400000,1,1,146447
8623,6094,1277401320,-1,-1,146449
2829,6094,1277404020,1,1,146451
9763,6094,1277404260,1,1,146452
8539,6094,1277406060,1,1,146454
5937,6094,1277406900,1,1,146455
4325,6094,1277411340,1,1,146459
746,6811,1277424360,1,1,146464
7015,6094,1277424600,1,1,146466
323,6094,1277427600,1,1,146467
5903,6811,1277434980,1,1,146473
4783,6094,1277449500,1,1,146477
3127,6094,1277455740,1,1,146480
3211,6094,1277476560,1,1,146483
4255,6094,1277476740,-1,-1,146484
8800,6811,1277489460,1,1,146493
8533,6811,1277489700,1,1,146494
6723,6094,1277491380,1,1,146497
1854,6094,1277492700,1,1,146502
3442,6094,1277506140,1,1,146526
6674,6811,1277507280,1,1,146527
7428,6811,1277513460,1,1,146530
10291,6094,1277517960,1,1,146532
2463,6811,1277520420,1,1,146533
7575,6094,1277536440,-1,-1,146535
10585,6094,1277573460,1,1,146542
9175,6094,1277578740,1,1,146543
5723,6811,1277587860,1,1,146544
3670,6094,1277593740,-1,-1,146545
1394,6094,1277596140,1,1,146546
4385,6094,1277639940,-1,-1,146551
9964,6094,1277645700,1,1,146552
6626,6094,1277677920,1,1,146555
5430,6094,1277756520,1,1,146562
6820,6094,1277792700,-1,-1,146565
7943,6094,1277822940,-1,-1,146573
3277,6094,1277865420,-1,-1,146608
2777,6094,1277898600,-1,-1,146619
8053,9175,1278638700,-1,-1,146842
10585,9175,1278718380,1,1,146859
5078,7296,1279462080,1,1,147009
9995,7296,1279464060,1,1,147010
4450,7296,1279469940,1,1,147022
1752,7296,1279475160,1,1,147028
2636,7296,1279479780,1,1,147031
5430,7296,1279486740,1,1,147036
8017,7296,1279487460,1,1,147038
323,7296,1279489800,1,1,147040
5723,7296,1279492140,1,1,147042
9964,7296,1279494960,1,1,147044
7208,7296,1279495680,1,1,147045
2670,7296,1279507080,1,1,147052
